ROOM_CODE|ROOM_DESCRIPTION|ROOM_TYPE|ROOM_TYPEDESCRIPTION|ROOM_CHARACTERISTIC|ROOM_CHARACTERISTICDESCRIPTION|
QUA.CB-PE|QUADRUPLE CLUB PREMIER|QUA|QUADRUPLE|CB-PE|CLUB PREMIER|
QUA.CB-PI|QUADRUPLE CLUB PREMIUM|QUA|QUADRUPLE|CB-PI|CLUB PREMIUM|
QUA.CB-QN|QUADRUPLE CLUB QUEEN BED|QUA|QUADRUPLE|CB-QN|CLUB QUEEN BED|
QUA.CM|QUADRUPLE CONNECTING ROOM|QUA|QUADRUPLE|CM|CONNECTING ROOM|
QUA.CV|QUADRUPLE CITY VIEW|QUA|QUADRUPLE|CV|CITY VIEW|
QUA.CV-1|QUADRUPLE CITY VIEW|QUA|QUADRUPLE|CV-1|CITY VIEW|
QUA.CV-2|QUADRUPLE CITY VIEW|QUA|QUADRUPLE|CV-2|CITY VIEW|
QUA.CV-4|QUADRUPLE CITY VIEW|QUA|QUADRUPLE|CV-4|CITY VIEW|
QUA.CV-DX|QUADRUPLE DELUXE CITY VIEW|QUA|QUADRUPLE|CV-DX|DELUXE CITY VIEW|
QUA.CV-DX-KG|QUADRUPLE DELUXE CITY VIEW KING BED|QUA|QUADRUPLE|CV-DX-KG|DELUXE CITY VIEW KING BED|
QUA.CV-EJ|QUADRUPLE EXECUTIVE CITY VIEW|QUA|QUADRUPLE|CV-EJ|EXECUTIVE CITY VIEW|
QUA.CV-GR|QUADRUPLE GUEST ROOM CITY VIEW|QUA|QUADRUPLE|CV-GR|GUEST ROOM CITY VIEW|
QUA.CV-KG|QUADRUPLE CITY VIEW KING BED|QUA|QUADRUPLE|CV-KG|CITY VIEW KING BED|
QUA.CV-LX|QUADRUPLE LUXURY CITY VIEW|QUA|QUADRUPLE|CV-LX|LUXURY CITY VIEW|
QUA.CV-PE|QUADRUPLE PREMIER CITY VIEW|QUA|QUADRUPLE|CV-PE|PREMIER CITY VIEW|
QUA.CV-PI|QUADRUPLE PREMIUM CITY VIEW|QUA|QUADRUPLE|CV-PI|PREMIUM CITY VIEW|
QUA.CV-QN|QUADRUPLE CITY VIEW QUEEN BED|QUA|QUADRUPLE|CV-QN|CITY VIEW QUEEN BED|
QUA.CV-SU|QUADRUPLE SUPERIOR CITY VIEW|QUA|QUADRUPLE|CV-SU|SUPERIOR CITY VIEW|
QUA.DB|QUADRUPLE WITH DOUBLE BED|QUA|QUADRUPLE|DB|WITH DOUBLE BED|
QUA.DB-1|QUADRUPLE WITH DOUBLE BED|QUA|QUADRUPLE|DB-1|WITH DOUBLE BED|
QUA.DB-SU|QUADRUPLE SUPERIOR WITH DOUBLE BED|QUA|QUADRUPLE|DB-SU|SUPERIOR WITH DOUBLE BED|
QUA.DP|QUADRUPLE DUPLEX|QUA|QUADRUPLE|DP|DUPLEX|
QUA.DP-1|QUADRUPLE DUPLEX|QUA|QUADRUPLE|DP-1|DUPLEX|
QUA.DP-2|QUADRUPLE DUPLEX|QUA|QUADRUPLE|DP-2|DUPLEX|
QUA.DP-4|QUADRUPLE DUPLEX|QUA|QUADRUPLE|DP-4|DUPLEX|
QUA.DP-SU|QUADRUPLE DUPLEX SUPERIOR|QUA|QUADRUPLE|DP-SU|DUPLEX SUPERIOR|
QUA.DX|QUADRUPLE DELUXE|QUA|QUADRUPLE|DX|DELUXE|
QUA.DX-1|QUADRUPLE DELUXE|QUA|QUADRUPLE|DX-1|DELUXE|
QUA.DX-10|QUADRUPLE DELUXE|QUA|QUADRUPLE|DX-10|DELUXE|
QUA.DX-2|QUADRUPLE DELUXE|QUA|QUADRUPLE|DX-2|DELUXE|
QUA.DX-3|QUADRUPLE DELUXE|QUA|QUADRUPLE|DX-3|DELUXE|
QUA.DX-5|QUADRUPLE DELUXE|QUA|QUADRUPLE|DX-5|DELUXE|
QUA.DX-6|QUADRUPLE DELUXE|QUA|QUADRUPLE|DX-6|DELUXE|
QUA.DX-7|QUADRUPLE DELUXE|QUA|QUADRUPLE|DX-7|DELUXE|
QUA.DX-8|QUADRUPLE DELUXE|QUA|QUADRUPLE|DX-8|DELUXE|
QUA.DX-EJ|QUADRUPLE DELUXE EXECUTIVE|QUA|QUADRUPLE|DX-EJ|DELUXE EXECUTIVE|
QUA.DX-FV|QUADRUPLE DELUXE FOUNTAIN VIEW|QUA|QUADRUPLE|DX-FV|DELUXE FOUNTAIN VIEW|
QUA.DX-GD|QUADRUPLE GRAND DELUXE|QUA|QUADRUPLE|DX-GD|GRAND DELUXE|
QUA.DX-GR|QUADRUPLE DELUXE GUEST ROOM|QUA|QUADRUPLE|DX-GR|DELUXE GUEST ROOM|
QUA.DX-GV|QUADRUPLE DELUXE GARDEN VIEW|QUA|QUADRUPLE|DX-GV|DELUXE GARDEN VIEW|
QUA.DX-HV|QUADRUPLE DELUXE HARBOUR VIEW|QUA|QUADRUPLE|DX-HV|DELUXE HARBOUR VIEW|
QUA.DX-KG|QUADRUPLE DELUXE KING BED|QUA|QUADRUPLE|DX-KG|DELUXE KING BED|
QUA.DX-KT|QUADRUPLE DELUXE WITH KITCHENETTE|QUA|QUADRUPLE|DX-KT|DELUXE WITH KITCHENETTE|
QUA.DX-LK|QUADRUPLE DELUXE LAKE VIEW|QUA|QUADRUPLE|DX-LK|DELUXE LAKE VIEW|
QUA.DX-MV|QUADRUPLE DELUXE MARINA VIEW|QUA|QUADRUPLE|DX-MV|DELUXE MARINA VIEW|
QUA.DX-NC|QUADRUPLE DELUXE NO AIR CONDITIONING|QUA|QUADRUPLE|DX-NC|DELUXE NO AIR CONDITIONING|
QUA.DX-OF|QUADRUPLE DELUXE OCEAN FRONT|QUA|QUADRUPLE|DX-OF|DELUXE OCEAN FRONT|
QUA.DX-OV|QUADRUPLE DELUXE OCEAN VIEW|QUA|QUADRUPLE|DX-OV|DELUXE OCEAN VIEW|
QUA.DX-OV-SU|QUADRUPLE DELUXE OCEAN VIEW SUPERIOR|QUA|QUADRUPLE|DX-OV-SU|DELUXE OCEAN VIEW SUPERIOR|
QUA.DX-PE|QUADRUPLE DELUXE PREMIER|QUA|QUADRUPLE|DX-PE|DELUXE PREMIER|
QUA.DX-PI|QUADRUPLE DELUXE PREMIUM|QUA|QUADRUPLE|DX-PI|DELUXE PREMIUM|
QUA.DX-PO|QUADRUPLE DELUXE PARTIAL OCEAN VIEW|QUA|QUADRUPLE|DX-PO|DELUXE PARTIAL OCEAN VIEW|
QUA.DX-PV|QUADRUPLE DELUXE PARK VIEW|QUA|QUADRUPLE|DX-PV|DELUXE PARK VIEW|
QUA.DX-QN|QUADRUPLE DELUXE QUEEN BED|QUA|QUADRUPLE|DX-QN|DELUXE QUEEN BED|
QUA.DX-RE|QUADRUPLE DELUXE RESORT VIEW|QUA|QUADRUPLE|DX-RE|DELUXE RESORT VIEW|
QUA.DX-RV|QUADRUPLE DELUXE RIVER VIEW|QUA|QUADRUPLE|DX-RV|DELUXE RIVER VIEW|
QUA.DX-SS|QUADRUPLE DELUXE SIDE SEA VIEW|QUA|QUADRUPLE|DX-SS|DELUXE SIDE SEA VIEW|
QUA.DX-SU|QUADRUPLE DELUXE SUPERIOR|QUA|QUADRUPLE|DX-SU|DELUXE SUPERIOR|
QUA.DX-TR|QUADRUPLE DELUXE WITH TERRACE|QUA|QUADRUPLE|DX-TR|DELUXE WITH TERRACE|
QUA.DX-VG|QUADRUPLE DELUXE GOLF VIEW|QUA|QUADRUPLE|DX-VG|DELUXE GOLF VIEW|
QUA.DX-VL|QUADRUPLE DELUXE LAGOON VIEW|QUA|QUADRUPLE|DX-VL|DELUXE LAGOON VIEW|
QUA.DX-VM|QUADRUPLE DELUXE SEA VIEW|QUA|QUADRUPLE|DX-VM|DELUXE SEA VIEW|
QUA.DX-VN|QUADRUPLE DELUXE MOUNTAIN VIEW|QUA|QUADRUPLE|DX-VN|DELUXE MOUNTAIN VIEW|
QUA.DX-VP|QUADRUPLE DELUXE POOL VIEW|QUA|QUADRUPLE|DX-VP|DELUXE POOL VIEW|
QUA.DX-WV|QUADRUPLE DELUXE WITH VIEWS|QUA|QUADRUPLE|DX-WV|DELUXE WITH VIEWS|
QUA.EJ|QUADRUPLE EXECUTIVE|QUA|QUADRUPLE|EJ|EXECUTIVE|
QUA.EJ-1|QUADRUPLE EXECUTIVE|QUA|QUADRUPLE|EJ-1|EXECUTIVE|
QUA.EJ-2|QUADRUPLE EXECUTIVE|QUA|QUADRUPLE|EJ-2|EXECUTIVE|
QUA.EJ-GV|QUADRUPLE EXECUTIVE GARDEN VIEW|QUA|QUADRUPLE|EJ-GV|EXECUTIVE GARDEN VIEW|
QUA.EJ-KG|QUADRUPLE EXECUTIVE KING BED|QUA|QUADRUPLE|EJ-KG|EXECUTIVE KING BED|
QUA.EJ-OV|QUADRUPLE EXECUTIVE OCEAN VIEW|QUA|QUADRUPLE|EJ-OV|EXECUTIVE OCEAN VIEW|
QUA.EJ-QN|QUADRUPLE EXECUTIVE QUEEN BED|QUA|QUADRUPLE|EJ-QN|EXECUTIVE QUEEN BED|
QUA.EJ-SU|QUADRUPLE EXECUTIVE SUPERIOR|QUA|QUADRUPLE|EJ-SU|EXECUTIVE SUPERIOR|
QUA.EJ-VM|QUADRUPLE EXECUTIVE SEA VIEW|QUA|QUADRUPLE|EJ-VM|EXECUTIVE SEA VIEW|
QUA.EJ-VN|QUADRUPLE EXECUTIVE MOUNTAIN VIEW|QUA|QUADRUPLE|EJ-VN|EXECUTIVE MOUNTAIN VIEW|
QUA.EY|QUADRUPLE ECONOMY|QUA|QUADRUPLE|EY|ECONOMY|
QUA.EY-1|QUADRUPLE ECONOMY|QUA|QUADRUPLE|EY-1|ECONOMY|
QUA.EY-FH|QUADRUPLE ECONOMY WITH SHARED BATHROOM|QUA|QUADRUPLE|EY-FH|ECONOMY WITH SHARED BATHROOM|
QUA.FA|QUADRUPLE FEMALE ROOM|QUA|QUADRUPLE|FA|FEMALE ROOM|
QUA.FH|QUADRUPLE WITH SHARED BATHROOM|QUA|QUADRUPLE|FH|WITH SHARED BATHROOM|
QUA.FH-2|QUADRUPLE WITH SHARED BATHROOM|QUA|QUADRUPLE|FH-2|WITH SHARED BATHROOM|
QUA.FH-3|QUADRUPLE WITH SHARED BATHROOM|QUA|QUADRUPLE|FH-3|WITH SHARED BATHROOM|
QUA.FV|QUADRUPLE FOUNTAIN VIEW|QUA|QUADRUPLE|FV|FOUNTAIN VIEW|
QUA.GD|QUADRUPLE GRAND|QUA|QUADRUPLE|GD|GRAND|
QUA.GD-1|QUADRUPLE GRAND|QUA|QUADRUPLE|GD-1|GRAND|
QUA.GD-4|QUADRUPLE GRAND|QUA|QUADRUPLE|GD-4|GRAND|
QUA.GD-SU|QUADRUPLE GRAND SUPERIOR|QUA|QUADRUPLE|GD-SU|GRAND SUPERIOR|
QUA.GR|QUADRUPLE GUEST ROOM|QUA|QUADRUPLE|GR|GUEST ROOM|
QUA.GR-1|QUADRUPLE GUEST ROOM|QUA|QUADRUPLE|GR-1|GUEST ROOM|
QUA.GR-2|QUADRUPLE GUEST ROOM|QUA|QUADRUPLE|GR-2|GUEST ROOM|
QUA.GR-GV|QUADRUPLE GUEST ROOM GARDEN VIEW|QUA|QUADRUPLE|GR-GV|GUEST ROOM GARDEN VIEW|
QUA.GR-KG|QUADRUPLE GUEST ROOM KING BED|QUA|QUADRUPLE|GR-KG|GUEST ROOM KING BED|
QUA.GR-QN|QUADRUPLE GUEST ROOM QUEEN BED|QUA|QUADRUPLE|GR-QN|GUEST ROOM QUEEN BED|
QUA.GR-RE|QUADRUPLE GUEST ROOM RESORT VIEW|QUA|QUADRUPLE|GR-RE|GUEST ROOM RESORT VIEW|
QUA.GV|QUADRUPLE GARDEN VIEW|QUA|QUADRUPLE|GV|GARDEN VIEW|
QUA.GV-1|QUADRUPLE GARDEN VIEW|QUA|QUADRUPLE|GV-1|GARDEN VIEW|
QUA.GV-4|QUADRUPLE GARDEN VIEW|QUA|QUADRUPLE|GV-4|GARDEN VIEW|
QUA.GV-6|QUADRUPLE GARDEN VIEW|QUA|QUADRUPLE|GV-6|GARDEN VIEW|
QUA.GV-KG|QUADRUPLE GARDEN VIEW KING BED|QUA|QUADRUPLE|GV-KG|GARDEN VIEW KING BED|
QUA.GV-PI|QUADRUPLE PREMIUM GARDEN VIEW|QUA|QUADRUPLE|GV-PI|PREMIUM GARDEN VIEW|
QUA.GV-SU|QUADRUPLE SUPERIOR GARDEN VIEW|QUA|QUADRUPLE|GV-SU|SUPERIOR GARDEN VIEW|
QUA.HM|QUADRUPLE HONEYMOON|QUA|QUADRUPLE|HM|HONEYMOON|
QUA.HV|QUADRUPLE HARBOUR VIEW|QUA|QUADRUPLE|HV|HARBOUR VIEW|
QUA.HV-2|QUADRUPLE HARBOUR VIEW|QUA|QUADRUPLE|HV-2|HARBOUR VIEW|
QUA.HV-PE|QUADRUPLE PREMIER HARBOUR VIEW|QUA|QUADRUPLE|HV-PE|PREMIER HARBOUR VIEW|
QUA.HV-SU|QUADRUPLE SUPERIOR HARBOUR VIEW|QUA|QUADRUPLE|HV-SU|SUPERIOR HARBOUR VIEW|
QUA.IN|QUADRUPLE INNER|QUA|QUADRUPLE|IN|INNER|
QUA.JA|QUADRUPLE WITH JACUZZI|QUA|QUADRUPLE|JA|WITH JACUZZI|
QUA.JA-1|QUADRUPLE WITH JACUZZI|QUA|QUADRUPLE|JA-1|WITH JACUZZI|
QUA.JA-KG|QUADRUPLE KING BED WITH JACUZZI|QUA|QUADRUPLE|JA-KG|KING BED WITH JACUZZI|
QUA.JE|QUADRUPLE JAPANESE ROOM|QUA|QUADRUPLE|JE|JAPANESE ROOM|
QUA.KG|QUADRUPLE KING SIZE BED|QUA|QUADRUPLE|KG|KING SIZE BED|
QUA.KG-1|QUADRUPLE KING SIZE BED|QUA|QUADRUPLE|KG-1|KING SIZE BED|
QUA.KG-NM|QUADRUPLE KING BED NON SMOKING|QUA|QUADRUPLE|KG-NM|KING BED NON SMOKING|
QUA.KG-OF|QUADRUPLE OCEAN FRONT KING BED|QUA|QUADRUPLE|KG-OF|OCEAN FRONT KING BED|
QUA.KG-OV|QUADRUPLE OCEAN VIEW KING BED|QUA|QUADRUPLE|KG-OV|OCEAN VIEW KING BED|
QUA.KG-PE|QUADRUPLE PREMIER KING BED|QUA|QUADRUPLE|KG-PE|PREMIER KING BED|
QUA.KG-PI|QUADRUPLE PREMIUM KING BED|QUA|QUADRUPLE|KG-PI|PREMIUM KING BED|
QUA.KG-PO|QUADRUPLE PARTIAL OCEAN VIEW KING BED|QUA|QUADRUPLE|KG-PO|PARTIAL OCEAN VIEW KING BED|
QUA.KG-SU|QUADRUPLE SUPERIOR KING BED|QUA|QUADRUPLE|KG-SU|SUPERIOR KING BED|
QUA.KG-VM|QUADRUPLE SEA VIEW KING BED|QUA|QUADRUPLE|KG-VM|SEA VIEW KING BED|
QUA.KG-VP|QUADRUPLE POOL VIEW KING BED|QUA|QUADRUPLE|KG-VP|POOL VIEW KING BED|
QUA.KT|QUADRUPLE WITH KITCHENETTE|QUA|QUADRUPLE|KT|WITH KITCHENETTE|
QUA.KT-1|QUADRUPLE WITH KITCHENETTE|QUA|QUADRUPLE|KT-1|WITH KITCHENETTE|
QUA.LK|QUADRUPLE LAKE VIEW|QUA|QUADRUPLE|LK|LAKE VIEW|
QUA.LK-1|QUADRUPLE LAKE VIEW|QUA|QUADRUPLE|LK-1|LAKE VIEW|
QUA.LK-SU|QUADRUPLE SUPERIOR LAKE VIEW|QUA|QUADRUPLE|LK-SU|SUPERIOR LAKE VIEW|
QUA.LV|QUADRUPLE LAND VIEW|QUA|QUADRUPLE|LV|LAND VIEW|
QUA.LV-2|QUADRUPLE LAND VIEW|QUA|QUADRUPLE|LV-2|LAND VIEW|
QUA.LV-3|QUADRUPLE LAND VIEW|QUA|QUADRUPLE|LV-3|LAND VIEW|
QUA.LV-SU|QUADRUPLE SUPERIOR LAND VIEW|QUA|QUADRUPLE|LV-SU|SUPERIOR LAND VIEW|
QUA.LX|QUADRUPLE LUXURY|QUA|QUADRUPLE|LX|LUXURY|
QUA.LX-1|QUADRUPLE LUXURY|QUA|QUADRUPLE|LX-1|LUXURY|
QUA.LX-2|QUADRUPLE LUXURY|QUA|QUADRUPLE|LX-2|LUXURY|
QUA.LX-4|QUADRUPLE LUXURY|QUA|QUADRUPLE|LX-4|LUXURY|
QUA.LX-OV|QUADRUPLE LUXURY OCEAN VIEW|QUA|QUADRUPLE|LX-OV|LUXURY OCEAN VIEW|
QUA.LX-PO|QUADRUPLE LUXURY PARTIAL OCEAN VIEW|QUA|QUADRUPLE|LX-PO|LUXURY PARTIAL OCEAN VIEW|
QUA.MV|QUADRUPLE MARINA VIEW|QUA|QUADRUPLE|MV|MARINA VIEW|
QUA.NC|QUADRUPLE NO AIR CONDITIONING|QUA|QUADRUPLE|NC|NO AIR CONDITIONING|
QUA.NM|QUADRUPLE NON SMOKING|QUA|QUADRUPLE|NM|NON SMOKING|
QUA.NM-1|QUADRUPLE NON SMOKING|QUA|QUADRUPLE|NM-1|NON SMOKING|
QUA.NM-2|QUADRUPLE NON SMOKING|QUA|QUADRUPLE|NM-2|NON SMOKING|
QUA.NM-QN|QUADRUPLE QUEEN BED NON SMOKING|QUA|QUADRUPLE|NM-QN|QUEEN BED NON SMOKING|
QUA.OF|QUADRUPLE OCEAN FRONT|QUA|QUADRUPLE|OF|OCEAN FRONT|
QUA.OF-PI|QUADRUPLE PREMIUM OCEAN FRONT|QUA|QUADRUPLE|OF-PI|PREMIUM OCEAN FRONT|
QUA.OF-SU|QUADRUPLE SUPERIOR OCEAN FRONT|QUA|QUADRUPLE|OF-SU|SUPERIOR OCEAN FRONT|
QUA.OM|QUADRUPLE COMFORT|QUA|QUADRUPLE|OM|COMFORT|
QUA.OM-1|QUADRUPLE COMFORT|QUA|QUADRUPLE|OM-1|COMFORT|
QUA.OM-2|QUADRUPLE COMFORT|QUA|QUADRUPLE|OM-2|COMFORT|
QUA.OM-VM|QUADRUPLE COMFORT SEA VIEW|QUA|QUADRUPLE|OM-VM|COMFORT SEA VIEW|
QUA.OV|QUADRUPLE OCEAN VIEW|QUA|QUADRUPLE|OV|OCEAN VIEW|
QUA.OV-4|QUADRUPLE OCEAN VIEW|QUA|QUADRUPLE|OV-4|OCEAN VIEW|
QUA.OV-7|QUADRUPLE OCEAN VIEW|QUA|QUADRUPLE|OV-7|OCEAN VIEW|
QUA.OV-8|QUADRUPLE OCEAN VIEW|QUA|QUADRUPLE|OV-8|OCEAN VIEW|
QUA.OV-PI|QUADRUPLE PREMIUM OCEAN VIEW|QUA|QUADRUPLE|OV-PI|PREMIUM OCEAN VIEW|
QUA.OV-QN|QUADRUPLE OCEAN VIEW QUEEN BED|QUA|QUADRUPLE|OV-QN|OCEAN VIEW QUEEN BED|
QUA.OV-SU|QUADRUPLE SUPERIOR OCEAN VIEW|QUA|QUADRUPLE|OV-SU|SUPERIOR OCEAN VIEW|
QUA.PE|QUADRUPLE PREMIER|QUA|QUADRUPLE|PE|PREMIER|
QUA.PE-QN|QUADRUPLE PREMIER QUEEN BED|QUA|QUADRUPLE|PE-QN|PREMIER QUEEN BED|
QUA.PE-VM|QUADRUPLE PREMIER SEA VIEW|QUA|QUADRUPLE|PE-VM|PREMIER SEA VIEW|
QUA.PI|QUADRUPLE PREMIUM|QUA|QUADRUPLE|PI|PREMIUM|
QUA.PI-1|QUADRUPLE PREMIUM|QUA|QUADRUPLE|PI-1|PREMIUM|
QUA.PI-2|QUADRUPLE PREMIUM|QUA|QUADRUPLE|PI-2|PREMIUM|
QUA.PI-4|QUADRUPLE PREMIUM|QUA|QUADRUPLE|PI-4|PREMIUM|
QUA.PI-QN|QUADRUPLE PREMIUM QUEEN BED|QUA|QUADRUPLE|PI-QN|PREMIUM QUEEN BED|
QUA.PI-SU|QUADRUPLE PREMIUM SUPERIOR|QUA|QUADRUPLE|PI-SU|PREMIUM SUPERIOR|
QUA.PI-VM|QUADRUPLE PREMIUM SEA VIEW|QUA|QUADRUPLE|PI-VM|PREMIUM SEA VIEW|
QUA.PO|QUADRUPLE PARTIAL OCEAN VIEW|QUA|QUADRUPLE|PO|PARTIAL OCEAN VIEW|
QUA.PO-1|QUADRUPLE PARTIAL OCEAN VIEW|QUA|QUADRUPLE|PO-1|PARTIAL OCEAN VIEW|
QUA.PO-QN|QUADRUPLE PARTIAL OCEAN VIEW QUEEN BED|QUA|QUADRUPLE|PO-QN|PARTIAL OCEAN VIEW QUEEN BED|
QUA.PO-SU|QUADRUPLE SUPERIOR PARTIAL OCEAN VIEW|QUA|QUADRUPLE|PO-SU|SUPERIOR PARTIAL OCEAN VIEW|
QUA.PP|QUADRUPLE WITH PRIVATE POOL|QUA|QUADRUPLE|PP|WITH PRIVATE POOL|
QUA.PR|QUADRUPLE PROMO|QUA|QUADRUPLE|PR|PROMO|
QUA.PS|QUADRUPLE PARTIAL SEA VIEW|QUA|QUADRUPLE|PS|PARTIAL SEA VIEW|
QUA.PT|QUADRUPLE PRESTIGE|QUA|QUADRUPLE|PT|PRESTIGE|
QUA.PV|QUADRUPLE PARK VIEW|QUA|QUADRUPLE|PV|PARK VIEW|
QUA.PV-1|QUADRUPLE PARK VIEW|QUA|QUADRUPLE|PV-1|PARK VIEW|
QUA.PV-SU|QUADRUPLE SUPERIOR PARK VIEW|QUA|QUADRUPLE|PV-SU|SUPERIOR PARK VIEW|
QUA.QN|QUADRUPLE QUEEN SIZE BED|QUA|QUADRUPLE|QN|QUEEN SIZE BED|
QUA.QN-SU|QUADRUPLE SUPERIOR QUEEN BED|QUA|QUADRUPLE|QN-SU|SUPERIOR QUEEN BED|
QUA.RE|QUADRUPLE RESORT VIEW|QUA|QUADRUPLE|RE|RESORT VIEW|
QUA.RO|QUADRUPLE RUN OF HOUSE|QUA|QUADRUPLE|RO|RUN OF HOUSE|
QUA.RV|QUADRUPLE RIVER VIEW|QUA|QUADRUPLE|RV|RIVER VIEW|
QUA.RV-SU|QUADRUPLE SUPERIOR RIVER VIEW|QUA|QUADRUPLE|RV-SU|SUPERIOR RIVER VIEW|
QUA.SD|QUADRUPLE SEMIDOUBLE|QUA|QUADRUPLE|SD|SEMIDOUBLE|
QUA.SF|QUADRUPLE SEA FRONT|QUA|QUADRUPLE|SF|SEA FRONT|
QUA.SS|QUADRUPLE SIDE SEA VIEW|QUA|QUADRUPLE|SS|SIDE SEA VIEW|
QUA.SS-SU|QUADRUPLE SUPERIOR SIDE SEA VIEW|QUA|QUADRUPLE|SS-SU|SUPERIOR SIDE SEA VIEW|
QUA.ST|QUADRUPLE STANDARD|QUA|QUADRUPLE|ST|STANDARD|
QUA.ST-1|QUADRUPLE STANDARD|QUA|QUADRUPLE|ST-1|STANDARD|
QUA.ST-10|QUADRUPLE STANDARD|QUA|QUADRUPLE|ST-10|STANDARD|
QUA.ST-2|QUADRUPLE STANDARD|QUA|QUADRUPLE|ST-2|STANDARD|
QUA.ST-3|QUADRUPLE STANDARD|QUA|QUADRUPLE|ST-3|STANDARD|
QUA.ST-4|QUADRUPLE STANDARD|QUA|QUADRUPLE|ST-4|STANDARD|
QUA.ST-7|QUADRUPLE STANDARD|QUA|QUADRUPLE|ST-7|STANDARD|
QUA.ST-8|QUADRUPLE STANDARD|QUA|QUADRUPLE|ST-8|STANDARD|
QUA.ST-9|QUADRUPLE STANDARD|QUA|QUADRUPLE|ST-9|STANDARD|
QUA.SU|QUADRUPLE SUPERIOR|QUA|QUADRUPLE|SU|SUPERIOR|
QUA.SU-1|QUADRUPLE SUPERIOR|QUA|QUADRUPLE|SU-1|SUPERIOR|
QUA.SU-2|QUADRUPLE SUPERIOR|QUA|QUADRUPLE|SU-2|SUPERIOR|
QUA.SU-3|QUADRUPLE SUPERIOR|QUA|QUADRUPLE|SU-3|SUPERIOR|
QUA.SU-4|QUADRUPLE SUPERIOR|QUA|QUADRUPLE|SU-4|SUPERIOR|
QUA.SU-6|QUADRUPLE SUPERIOR|QUA|QUADRUPLE|SU-6|SUPERIOR|
QUA.SU-TR|QUADRUPLE SUPERIOR WITH TERRACE|QUA|QUADRUPLE|SU-TR|SUPERIOR WITH TERRACE|
QUA.SU-VL|QUADRUPLE SUPERIOR LAGOON VIEW|QUA|QUADRUPLE|SU-VL|SUPERIOR LAGOON VIEW|
QUA.SU-VM|QUADRUPLE SUPERIOR SEA VIEW|QUA|QUADRUPLE|SU-VM|SUPERIOR SEA VIEW|
QUA.SU-VN|QUADRUPLE SUPERIOR MOUNTAIN VIEW|QUA|QUADRUPLE|SU-VN|SUPERIOR MOUNTAIN VIEW|
QUA.SU-VP|QUADRUPLE SUPERIOR POOL VIEW|QUA|QUADRUPLE|SU-VP|SUPERIOR POOL VIEW|
QUA.SU-WV|QUADRUPLE SUPERIOR WITH VIEWS|QUA|QUADRUPLE|SU-WV|SUPERIOR WITH VIEWS|
QUA.TR|QUADRUPLE WITH TERRACE|QUA|QUADRUPLE|TR|WITH TERRACE|
QUA.TR-1|QUADRUPLE WITH TERRACE|QUA|QUADRUPLE|TR-1|WITH TERRACE|
QUA.TR-2|QUADRUPLE WITH TERRACE|QUA|QUADRUPLE|TR-2|WITH TERRACE|
QUA.VG|QUADRUPLE GOLF VIEW|QUA|QUADRUPLE|VG|GOLF VIEW|
QUA.VL|QUADRUPLE LAGOON VIEW|QUA|QUADRUPLE|VL|LAGOON VIEW|
QUA.VM|QUADRUPLE SEA VIEW|QUA|QUADRUPLE|VM|SEA VIEW|
QUA.VM-1|QUADRUPLE SEA VIEW|QUA|QUADRUPLE|VM-1|SEA VIEW|
QUA.VM-2|QUADRUPLE SEA VIEW|QUA|QUADRUPLE|VM-2|SEA VIEW|
QUA.VM-3|QUADRUPLE SEA VIEW|QUA|QUADRUPLE|VM-3|SEA VIEW|
QUA.VM-VP|QUADRUPLE SEA VIEW POOL VIEW|QUA|QUADRUPLE|VM-VP|SEA VIEW POOL VIEW|
QUA.VN|QUADRUPLE MOUNTAIN VIEW|QUA|QUADRUPLE|VN|MOUNTAIN VIEW|
QUA.VP|QUADRUPLE POOL VIEW|QUA|QUADRUPLE|VP|POOL VIEW|
QUA.VP-1|QUADRUPLE POOL VIEW|QUA|QUADRUPLE|VP-1|POOL VIEW|
QUA.VP-2|QUADRUPLE POOL VIEW|QUA|QUADRUPLE|VP-2|POOL VIEW|
QUA.VQ|QUADRUPLE CANAL VIEW|QUA|QUADRUPLE|VQ|CANAL VIEW|
QUA.WB|QUADRUPLE WITHOUT BALCONY|QUA|QUADRUPLE|WB|WITHOUT BALCONY|
QUA.WV|QUADRUPLE WITH VIEWS|QUA|QUADRUPLE|WV|WITH VIEWS|
QUA.WV-1|QUADRUPLE WITH VIEWS|QUA|QUADRUPLE|WV-1|WITH VIEWS|
QUA.Z1|QUADRUPLE BASIC|QUA|QUADRUPLE|Z1|BASIC|
QUA.Z1-1|QUADRUPLE BASIC|QUA|QUADRUPLE|Z1-1|BASIC|
ROO.1B|Room ONE BED|ROO|Room|1B|ONE BED|
ROO.1B-1|Room ONE BED|ROO|Room|1B-1|ONE BED|
ROO.1B-DX|Room DELUXE ONE BED|ROO|Room|1B-DX|DELUXE ONE BED|
ROO.1W-B1|Room ONE BEDROOM ONE BATHROOM|ROO|Room|1W-B1|ONE BEDROOM ONE BATHROOM|
ROO.1W-B2|Room TWO BEDROOMS ONE BATHROOM|ROO|Room|1W-B2|TWO BEDROOMS ONE BATHROOM|
ROO.2B|Room TWO BEDS|ROO|Room|2B|TWO BEDS|
ROO.2B-1|Room TWO BEDS|ROO|Room|2B-1|TWO BEDS|
ROO.2B-2|Room TWO BEDS|ROO|Room|2B-2|TWO BEDS|
